#Down SWR Down LWR Precipit  Air Tem  Windspe Pressure Spec Hum
#W m-2 W m-2 Kg m-2 s-1 K m s-1 Pa kg kg
   0.0 196.0 0.00E+00 260.52  0.78  97280 0.00146
   0.0 204.0 0.00E+00 259.35  1.01  97280 0.00130
   0.0 221.3 0.00E+00 259.09  0.75  97240 0.00128
   0.0 229.2 0.00E+00 257.91  0.64  97190 0.00114
   0.0 233.1 0.00E+00 257.32  0.90  97140 0.00109
   0.0 237.4 0.00E+00 257.42  0.95  97090 0.00109
   0.0 243.4 0.00E+00 258.82  0.74  96980 0.00125
   0.0 247.7 0.00E+00 259.66  1.14  96900 0.00134
   1.6 257.0 0.00E+00 259.93  1.27  96850 0.00138
   3.8 265.1 0.00E+00 263.53  2.42  96750 0.00190
  52.9 271.1 0.00E+00 264.71  2.50  96660 0.00209
 176.0 273.7 0.00E+00 266.63  3.47  96600 0.00233
 387.0 238.3 0.00E+00 269.81  4.32  96520 0.00254
 493.7 240.6 0.00E+00 274.21  5.06  96360 0.00304
 530.6 245.5 0.00E+00 277.57  4.54  96240 0.00366
 498.8 249.0 0.00E+00 279.50  4.32  96180 0.00405
 387.6 252.3 0.00E+00 279.94  4.70  96200 0.00420
 201.7 255.7 0.00E+00 279.74  4.44  96210 0.00422
  53.5 258.7 0.00E+00 278.57  3.36  96270 0.00415
   4.3 265.1 0.00E+00 277.64  2.75  96390 0.00410
   0.0 254.3 0.00E+00 276.59  2.31  96460 0.00402
   0.0 255.3 0.00E+00 276.62  2.44  96530 0.00395
   0.0 283.5 0.00E+00 275.53  1.92  96620 0.00390
   0.0 255.9 0.00E+00 274.26  1.73  96680 0.00377
   0.0 251.1 0.00E+00 273.66  2.00  96700 0.00366
   0.0 244.5 0.00E+00 272.85  2.17  96730 0.00358
   0.0 233.5 0.00E+00 271.73  1.86  96760 0.00340
   0.0 247.7 0.00E+00 270.60  1.35  96760 0.00325
   0.0 276.7 0.00E+00 269.42  1.26  96780 0.00298
   0.0 285.3 0.00E+00 269.43  1.43  96780 0.00299
   0.0 283.7 0.00E+00 268.65  1.27  96760 0.00282
   0.0 279.9 0.00E+00 266.96  1.46  96820 0.00248
   0.0 282.6 0.00E+00 267.16  3.01  96910 0.00251
   4.5 276.2 0.00E+00 266.60  3.01  96950 0.00241
 120.5 273.4 0.00E+00 265.85  2.24  97000 0.00223
 305.8 229.1 0.00E+00 267.39  3.31  97040 0.00217
 403.6 220.9 0.00E+00 268.62  4.09  97080 0.00216
 480.8 224.6 0.00E+00 269.90  3.75  97040 0.00226
 529.0 227.5 0.00E+00 271.14  4.87  96940 0.00235
 505.5 232.5 0.00E+00 271.79  4.43  96880 0.00238
 288.1 279.4 0.00E+00 270.60  5.90  96870 0.00233
 123.4 286.9 0.00E+00 269.63  6.01  96900 0.00226
  42.1 287.7 0.00E+00 269.12  5.66  96970 0.00216
   4.0 284.5 0.00E+00 268.50  5.35  97090 0.00207
   0.0 281.8 0.00E+00 267.83  4.96  97180 0.00204
   0.0 279.5 0.00E+00 267.31  5.19  97270 0.00192
   0.0 278.5 0.00E+00 267.07  5.31  97360 0.00189
   0.0 277.4 0.00E+00 266.82  5.45  97450 0.00181
   0.0 275.0 0.00E+00 266.23  5.78  97520 0.00177
   0.2 272.7 0.00E+00 265.69  5.46  97580 0.00164
   0.2 272.5 0.00E+00 265.65  4.61  97640 0.00162
   0.2 271.5 0.00E+00 265.49  5.83  97680 0.00164
   0.0 250.1 0.00E+00 264.98  4.94  97740 0.00168
   0.1 251.7 0.00E+00 264.70  3.73  97770 0.00166
   0.0 234.6 0.00E+00 264.27  3.11  97790 0.00161
   0.0 226.4 0.00E+00 263.61  2.19  97830 0.00157
   0.0 232.0 0.00E+00 263.04  1.83  97860 0.00154
   2.4 253.0 0.00E+00 263.29  2.56  97910 0.00155
  31.5 257.2 0.00E+00 263.36  3.78  97980 0.00147
  79.0 258.7 0.00E+00 263.28  3.63  98070 0.00152
 193.0 258.4 0.00E+00 263.21  3.40  98110 0.00151
 255.0 261.9 0.00E+00 263.40  3.32  98100 0.00150
 275.0 262.8 0.00E+00 263.50  3.40  98020 0.00136
 348.5 251.0 0.00E+00 264.10  3.38  97940 0.00126
 277.0 232.4 0.00E+00 264.51  3.67  97880 0.00121
 207.4 258.1 0.00E+00 264.93  2.87  97880 0.00112
  47.3 269.6 0.00E+00 264.57  2.65  97920 0.00111
   3.5 262.4 0.00E+00 264.28  2.76  97970 0.00116
   0.0 249.9 0.00E+00 264.16  3.12  98010 0.00123
   0.0 229.7 0.00E+00 263.18  3.10  98020 0.00124
   0.2 261.1 0.00E+00 263.16  2.75  98030 0.00125
   0.2 260.0 0.00E+00 263.23  2.70  98050 0.00125
   0.2 256.8 0.00E+00 263.29  2.37  98080 0.00129
   0.2 261.0 0.00E+00 263.41  2.97  98110 0.00127
   0.2 258.8 0.00E+00 263.43  3.28  98180 0.00126
   0.2 257.2 0.00E+00 263.19  3.95  98210 0.00122
   0.2 255.2 0.00E+00 262.68  4.31  98280 0.00127
   0.2 253.0 0.00E+00 262.06  4.78  98340 0.00142
   0.2 254.6 0.00E+00 261.36  5.33  98390 0.00142
   0.2 253.7 0.00E+00 261.10  5.83  98440 0.00140
   0.2 250.3 0.00E+00 260.90  5.45  98510 0.00137
   1.4 247.5 0.00E+00 260.76  4.93  98580 0.00132
  35.8 248.4 0.00E+00 260.78  4.56  98640 0.00134
 114.3 250.9 0.00E+00 260.89  5.18  98730 0.00136
 187.1 245.2 0.00E+00 260.78  5.81  98850 0.00129
 374.5 238.5 0.00E+00 261.10  6.19  98880 0.00128
 516.8 211.4 0.00E+00 261.21  6.86  98850 0.00117
 431.7 216.0 0.00E+00 260.86  6.46  98860 0.00110
 440.5 188.8 0.00E+00 260.34  7.86  98890 0.00106
 307.7 180.5 0.00E+00 258.92  8.45  98960 0.00095
 127.7 169.5 0.00E+00 257.51  7.69  99040 0.00088
   8.3 158.0 0.00E+00 255.67  6.15  99130 0.00076
   0.0 152.8 0.00E+00 254.39  5.85  99220 0.00070
  -0.1 153.7 0.00E+00 253.62  5.70  99250 0.00066
  -0.1 154.5 0.00E+00 253.01  5.48  99310 0.00062
  -0.1 155.1 0.00E+00 252.34  5.50  99370 0.00059
  -0.1 155.4 0.00E+00 252.32  5.54  99380 0.00059
  -0.2 156.2 0.00E+00 251.94  4.88  99420 0.00056
   0.0 154.9 0.00E+00 250.83  2.95  99440 0.00052
   0.0 153.1 0.00E+00 250.31  3.84  99430 0.00050
   0.0 151.4 0.00E+00 249.23  3.11  99450 0.00046
   0.0 153.3 0.00E+00 249.06  2.27  99430 0.00046
   0.0 156.9 0.00E+00 248.97  2.89  99420 0.00046
   0.0 159.1 0.00E+00 248.92  2.78  99480 0.00045
   0.0 163.0 0.00E+00 248.36  1.93  99560 0.00043
   9.9 170.6 0.00E+00 247.91  2.47  99520 0.00042
 108.6 173.5 0.00E+00 249.78  3.15  99550 0.00048
 271.0 165.6 0.00E+00 251.31  3.84  99560 0.00052
 421.6 166.2 0.00E+00 252.68  3.44  99550 0.00058
 517.2 171.4 0.00E+00 254.47  2.42  99450 0.00063
 549.2 177.8 0.00E+00 255.28  2.48  99350 0.00065
 512.6 178.1 0.00E+00 257.18  1.19  99230 0.00069
 409.4 177.8 0.00E+00 256.87  1.31  99140 0.00071
 294.0 174.5 0.00E+00 256.50  1.09  99070 0.00070
  88.7 187.2 0.00E+00 255.54  1.12  99020 0.00069
   7.4 244.5 0.00E+00 255.49  1.51  99030 0.00070
   0.0 249.5 0.00E+00 255.92  2.18  98960 0.00075
   0.0 251.6 0.00E+00 256.26  2.66  98860 0.00079
   0.0 254.9 0.00E+00 256.79  2.67  98820 0.00081
   0.0 255.3 0.00E+00 257.23  3.34  98770 0.00085
   0.0 259.2 0.00E+00 257.84  4.12  98730 0.00092
   0.0 258.1 0.00E+00 258.30  4.02  98650 0.00097
   0.0 262.2 0.00E+00 258.71  4.55  98540 0.00102
   0.0 251.2 0.00E+00 258.82  4.21  98500 0.00106
   0.0 249.0 0.00E+00 259.17  4.42  98420 0.00118
   0.1 256.4 0.00E+00 259.57  5.28  98320 0.00123
   0.1 261.3 0.00E+00 260.22  5.23  98280 0.00123
   0.1 262.2 0.00E+00 260.55  5.73  98200 0.00124
   0.2 265.9 0.00E+00 261.29  6.28  98140 0.00127
   3.4 258.4 0.00E+00 261.58  6.50  98140 0.00129
  56.3 264.4 0.00E+00 262.09  6.91  98100 0.00134
 176.5 269.6 0.00E+00 262.83  7.30  98080 0.00139
 313.7 251.5 0.00E+00 264.00  6.50  98050 0.00144
 433.5 252.4 0.00E+00 265.45  7.21  97950 0.00153
 564.2 219.6 0.00E+00 266.78  6.71  97820 0.00161
 537.2 218.0 0.00E+00 267.95  5.79  97720 0.00169
 425.4 222.0 0.00E+00 268.50  5.72  97640 0.00180
 288.9 222.0 0.00E+00 268.61  5.49  97630 0.00189
 137.7 216.8 0.00E+00 268.54  4.68  97630 0.00192
  11.4 219.4 0.00E+00 267.58  3.05  97660 0.00190
   0.0 219.3 0.00E+00 265.99  2.46  97690 0.00180
   0.0 215.7 0.00E+00 265.64  1.86  97710 0.00180
   0.0 214.2 0.00E+00 263.70  1.52  97660 0.00166
   0.0 215.8 0.00E+00 263.65  0.96  97620 0.00168
   0.0 214.2 0.00E+00 262.62  1.19  97620 0.00164
   0.0 214.8 0.00E+00 263.38  1.81  97610 0.00174
   0.0 216.6 0.00E+00 262.05  1.46  97540 0.00162
   0.0 216.3 0.00E+00 261.18  0.80  97490 0.00153
   0.0 222.6 0.00E+00 260.84  1.07  97440 0.00150
   0.0 230.5 0.00E+00 259.86  0.59  97400 0.00138
   0.0 237.9 0.00E+00 260.01  1.18  97390 0.00138
   0.0 238.2 0.00E+00 258.97  1.01  97380 0.00126
   0.0 242.4 0.00E+00 259.56  0.95  97360 0.00133
  10.5 248.3 0.00E+00 259.23  1.11  97350 0.00129
  90.7 256.0 0.00E+00 260.59  1.12  97330 0.00143
 167.3 277.1 0.00E+00 263.95  1.61  97310 0.00191
 238.0 286.8 0.00E+00 266.34  1.53  97330 0.00219
 310.0 283.1 0.00E+00 268.27  1.94  97280 0.00232
 330.0 285.7 0.00E+00 269.30  2.10  97200 0.00243
 273.0 289.2 0.00E+00 270.22  3.99  97180 0.00257
 270.0 283.2 0.00E+00 269.68  6.94  97320 0.00265
 121.0 277.9 0.00E+00 267.70  8.39  97480 0.00231
  40.4 276.7 0.00E+00 266.62  8.00  97670 0.00207
   8.3 269.8 0.00E+00 265.84  6.89  97820 0.00195
   0.0 263.0 0.00E+00 265.02  7.68  97990 0.00187
   0.0 255.3 0.00E+00 262.93  9.22  98120 0.00155
   0.2 232.0 0.00E+00 261.80  8.19  98230 0.00133
   0.0 196.9 0.00E+00 260.75  5.36  98300 0.00119
   0.0 210.6 0.00E+00 260.17  5.31  98350 0.00113
   0.1 258.1 0.00E+00 260.68  6.45  98410 0.00117
   0.1 253.5 0.00E+00 260.74  7.07  98470 0.00116
   0.1 252.9 0.00E+00 260.40  6.98  98540 0.00113
   0.1 247.4 0.00E+00 260.20  6.06  98610 0.00108
   0.0 244.4 0.00E+00 259.82  5.75  98640 0.00115
   0.0 236.9 0.00E+00 259.60  6.33  98650 0.00107
   0.0 233.9 0.00E+00 259.23  6.04  98700 0.00105
   0.0 232.3 0.00E+00 258.62  6.00  98780 0.00098
   4.7 217.5 0.00E+00 257.83  5.78  98870 0.00091
  73.0 200.5 0.00E+00 257.14  5.08  98950 0.00083
 189.4 202.6 0.00E+00 256.98  4.72  99020 0.00080
 315.2 209.7 0.00E+00 257.45  3.99  99040 0.00081
 502.5 189.8 0.00E+00 258.43  3.78  98990 0.00080
 569.4 183.5 0.00E+00 259.13  2.94  98910 0.00079
 548.4 184.5 0.00E+00 259.81  2.38  98800 0.00084
 524.1 205.9 0.00E+00 260.46  1.87  98710 0.00090
 303.9 187.9 0.00E+00 260.85  1.17  98670 0.00089
 110.8 205.7 0.00E+00 260.11  0.91  98610 0.00087
   7.0 193.7 0.00E+00 258.97  1.42  98550 0.00085
   0.0 208.0 0.00E+00 258.28  1.56  98520 0.00086
   0.0 236.5 0.00E+00 258.43  1.96  98490 0.00094
   0.0 259.4 0.00E+00 259.26  3.33  98400 0.00095
   0.1 267.8 0.00E+00 259.89  4.38  98300 0.00102
   0.1 264.0 0.00E+00 260.56  4.92  98190 0.00110
   0.1 267.4 0.00E+00 261.17  5.42  98120 0.00118
   0.2 269.4 0.00E+00 261.66  5.50  98000 0.00127
   0.1 256.3 0.00E+00 262.54  6.10  97870 0.00137
   0.2 269.7 0.00E+00 263.12  7.43  97710 0.00141
   0.2 277.3 0.00E+00 263.48  7.92  97570 0.00143
   0.2 278.4 0.00E+00 264.00  7.96  97460 0.00147
   0.2 263.4 0.00E+00 264.45  6.94  97370 0.00155
   0.0 221.5 0.00E+00 264.30  5.84  97300 0.00154
   6.9 220.9 0.00E+00 264.14  5.29  97290 0.00155
  96.9 224.9 0.00E+00 264.73  5.60  97270 0.00160
 265.5 226.7 0.00E+00 266.47  7.36  97160 0.00175
 416.1 235.5 0.00E+00 268.20  8.01  97060 0.00188
 501.3 241.9 0.00E+00 269.64  7.53  96960 0.00206
 539.6 244.8 0.00E+00 271.25  6.53  96880 0.00225
 500.0 249.9 0.00E+00 272.75  6.29  96770 0.00246
 408.8 253.2 0.00E+00 273.87  5.83  96710 0.00265
 225.7 254.2 0.00E+00 274.57  4.49  96660 0.00284
 110.5 254.2 0.00E+00 274.49  2.85  96640 0.00301
  13.8 253.1 0.00E+00 273.70  1.84  96640 0.00301
   0.0 252.4 0.00E+00 272.32  1.83  96680 0.00291
   0.0 252.7 0.00E+00 270.63  1.79  96660 0.00273
   0.0 246.2 0.00E+00 270.48  1.77  96600 0.00272
   0.0 244.9 0.00E+00 270.82  1.83  96620 0.00271
   0.0 246.3 0.00E+00 269.44  1.16  96620 0.00258
   0.0 248.3 0.00E+00 268.92  1.57  96570 0.00254
   1.7 280.7 0.00E+00 269.22  1.50  96490 0.00258
   0.0 261.0 0.00E+00 269.09  1.48  96440 0.00264
   2.3 290.8 0.00E+00 269.21  1.26  96380 0.00272
   1.0 302.9 0.00E+00 270.43  1.28  96350 0.00295
   0.1 306.3 0.00E+00 271.23  1.43  96330 0.00313
   0.0 304.3 0.00E+00 271.95  1.69  96370 0.00333
   0.0 305.7 0.00E+00 272.05  2.13  96380 0.00343
   1.6 307.4 0.00E+00 272.18  2.70  96430 0.00334
  23.9 308.1 0.00E+00 272.44  2.31  96520 0.00339
  55.1 307.8 0.00E+00 272.84  4.89  96630 0.00347
  91.1 310.3 0.00E+00 273.34  4.99  96790 0.00370
 105.6 314.2 0.00E+00 273.97  4.48  96830 0.00371
 142.3 310.9 0.00E+00 274.43  4.23  96790 0.00378
 102.8 310.5 0.00E+00 274.75  3.42  96780 0.00388
  86.8 308.5 0.00E+00 274.76  5.15  96870 0.00411
  65.9 310.0 0.00E+00 274.72  5.47  96970 0.00431
  32.2 309.5 0.00E+00 274.56  4.46  97090 0.00429
   2.8 308.7 0.00E+00 274.36  4.42  97250 0.00420
   0.0 304.9 0.00E+00 274.19  5.29  97360 0.00397
   0.0 303.1 0.00E+00 273.78  5.43  97460 0.00383
   0.0 301.3 0.00E+00 273.39  5.49  97540 0.00368
   0.0 298.5 0.00E+00 272.77  5.95  97630 0.00350
   0.0 296.2 0.00E+00 272.21  5.12  97750 0.00340
   0.0 295.1 0.00E+00 272.03  3.93  97790 0.00336
   0.0 295.2 0.00E+00 272.07  3.75  97810 0.00331
   0.0 294.1 0.00E+00 271.77  4.06  97860 0.00326
   0.0 293.4 0.00E+00 271.65  3.69  97930 0.00321
   0.0 291.8 0.00E+00 271.29  3.70  97940 0.00305
   0.0 290.6 0.00E+00 271.05  2.61  97930 0.00300
   0.0 290.2 0.00E+00 270.96  2.84  97930 0.00298
   0.0 289.8 0.00E+00 270.92  2.15  97960 0.00297
   2.5 289.3 0.00E+00 270.77  2.16  98010 0.00297
  65.7 288.1 0.00E+00 270.70  2.51  98070 0.00293
 106.0 287.4 0.00E+00 270.90  2.60  98130 0.00289
 172.0 289.6 0.00E+00 270.77  2.62  98210 0.00286
 334.3 289.7 0.00E+00 271.63  2.32  98190 0.00296
 295.5 294.6 0.00E+00 272.16  3.16  98120 0.00302
 232.1 298.8 0.00E+00 272.58  3.89  98040 0.00306
 212.9 297.8 0.00E+00 272.69  4.20  97970 0.00304
 123.5 296.8 0.00E+00 272.80  3.46  97960 0.00306
  52.5 294.9 0.00E+00 272.73  3.29  97920 0.00306
   7.6 292.7 0.00E+00 272.55  3.30  97870 0.00310
   0.0 294.1 0.00E+00 272.42  3.04  97850 0.00313
   0.0 294.9 0.00E+00 272.19  3.22  97820 0.00314
   0.0 298.7 0.00E+00 271.95  3.19  97780 0.00313
   0.0 299.7 0.00E+00 271.99  2.82  97760 0.00321
   0.0 299.2 0.00E+00 271.84  2.62  97690 0.00323
   0.0 298.5 0.00E+00 271.70  2.72  97650 0.00328
   0.0 297.4 0.00E+00 271.40  3.49  97550 0.00330
   0.0 296.0 0.00E+00 271.12  4.45  97510 0.00329
   0.0 295.8 0.00E+00 271.06  5.74  97440 0.00327
   0.0 276.5 0.00E+00 270.86  4.74  97350 0.00324
   0.0 230.2 0.00E+00 269.53  3.44  97270 0.00298
   0.0 224.9 0.00E+00 268.73  4.64  97130 0.00282
   0.0 227.4 0.00E+00 268.07  4.61  97030 0.00269
   5.9 229.9 0.00E+00 267.57  3.54  97000 0.00259
 109.9 231.9 0.00E+00 269.25  3.55  96920 0.00288
 267.0 248.7 0.00E+00 272.80  4.94  96850 0.00351
 226.7 277.3 0.00E+00 274.28  7.17  96760 0.00370
 348.4 269.8 0.00E+00 275.60  6.17  96680 0.00388
 346.2 275.5 0.00E+00 276.73  6.55  96530 0.00409
 440.4 279.6 0.00E+00 278.21  7.60  96320 0.00430
 185.1 304.7 0.00E+00 278.44  6.35  96230 0.00446
 119.3 303.9 0.00E+00 279.20  4.91  96170 0.00466
  56.9 295.7 0.00E+00 279.02  2.99  96160 0.00465
   5.5 311.5 0.00E+00 277.88  2.96  96120 0.00456
   0.0 321.1 0.00E+00 278.09  1.48  96170 0.00455
   0.0 326.7 0.00E+00 277.70  1.64  96220 0.00465
   0.0 326.4 7.06E-05 276.94  1.17  96200 0.00488
   0.0 325.1 0.00E+00 276.47  1.52  96210 0.00488
   0.0 325.4 7.06E-05 276.42  1.23  96280 0.00492
   0.0 327.8 7.06E-05 277.58  2.41  96330 0.00514
   0.0 316.2 0.00E+00 277.56  3.91  96370 0.00506
   0.0 288.2 0.00E+00 277.53  5.27  96400 0.00491
   0.0 249.9 0.00E+00 277.25  5.91  96470 0.00463
   0.0 246.7 0.00E+00 276.34  5.76  96510 0.00432
   0.0 293.8 0.00E+00 276.13  5.50  96580 0.00426
   0.0 309.3 0.00E+00 276.57  6.86  96650 0.00438
   0.0 308.9 0.00E+00 276.46  8.60  96720 0.00425
   1.8 309.8 0.00E+00 276.02  7.53  96800 0.00419
  17.6 311.3 0.00E+00 275.73  8.98  96850 0.00419
 113.0 307.0 0.00E+00 275.85  8.67  96910 0.00422
 182.1 306.0 0.00E+00 276.54  7.99  96990 0.00433
 187.1 312.8 0.00E+00 276.70  7.35  97030 0.00435
 292.5 306.8 0.00E+00 277.36  6.74  97040 0.00445
 291.3 310.3 0.00E+00 278.14  6.65  97010 0.00441
 382.0 263.9 0.00E+00 278.52  6.32  97050 0.00433
 323.7 245.8 0.00E+00 278.70  4.32  97030 0.00431
  90.8 247.7 0.00E+00 277.83  1.93  97020 0.00423
  11.5 249.0 0.00E+00 275.68  1.20  97010 0.00403
   0.0 248.8 0.00E+00 273.06  1.04  96990 0.00373
   0.0 247.9 0.00E+00 272.05  1.21  96970 0.00361
   0.0 250.2 0.00E+00 271.42  1.49  96920 0.00346
   0.0 253.8 0.00E+00 271.57  2.05  96840 0.00349
   0.0 249.8 0.00E+00 271.62  2.05  96760 0.00346
   0.0 249.7 0.00E+00 271.02  1.73  96700 0.00334
   0.0 247.1 0.00E+00 270.74  2.06  96630 0.00329
   0.0 248.7 0.00E+00 271.94  2.85  96510 0.00350
   0.0 252.9 0.00E+00 272.73  2.69  96390 0.00363
   0.0 254.1 0.00E+00 272.58  1.40  96360 0.00363
   0.0 257.7 0.00E+00 271.19  1.24  96300 0.00336
   0.0 255.9 0.00E+00 271.47  1.19  96270 0.00346
   0.0 258.8 0.00E+00 271.52  1.28  96260 0.00341
   7.7 260.1 0.00E+00 271.34  1.02  96250 0.00335
  77.8 265.5 0.00E+00 272.75  1.53  96200 0.00369
 210.4 270.9 0.00E+00 275.40  2.05  96170 0.00416
 265.5 276.4 0.00E+00 277.80  1.85  96160 0.00451
 344.7 288.4 0.00E+00 280.01  1.70  96070 0.00491
 308.7 297.3 0.00E+00 281.22  2.13  95980 0.00512
 402.0 286.2 0.00E+00 282.83  2.15  95890 0.00538
 381.1 283.8 0.00E+00 284.53  3.31  95780 0.00541
 239.0 286.3 0.00E+00 285.37  3.33  95760 0.00562
 127.7 285.4 0.00E+00 285.27  2.90  95730 0.00579
  17.7 287.0 0.00E+00 282.24  1.69  95700 0.00553
   0.0 286.9 0.00E+00 280.15  1.64  95720 0.00517
   0.0 282.7 0.00E+00 279.05  1.67  95720 0.00493
   0.0 280.2 0.00E+00 277.12  1.41  95680 0.00465
   0.0 295.8 0.00E+00 277.16  1.54  95650 0.00466
   0.0 278.5 0.00E+00 276.06  1.06  95620 0.00449
   0.0 278.4 0.00E+00 275.11  0.98  95630 0.00434
   0.0 280.2 0.00E+00 274.87  1.66  95630 0.00430
   0.0 280.2 0.00E+00 274.56  1.46  95590 0.00421
   0.0 307.5 0.00E+00 274.93  1.71  95550 0.00436
   0.0 306.1 0.00E+00 274.69  1.80  95480 0.00436
   0.0 298.1 0.00E+00 274.78  2.00  95410 0.00435
   0.0 295.8 0.00E+00 274.69  1.44  95370 0.00432
   0.0 286.5 0.00E+00 274.77  2.03  95390 0.00431
   2.4 279.8 0.00E+00 274.86  2.78  95380 0.00430
  40.2 281.1 0.00E+00 275.46  3.71  95330 0.00442
 123.3 282.5 0.00E+00 276.55  3.57  95260 0.00461
 188.3 286.0 0.00E+00 278.14  3.81  95230 0.00482
 240.7 289.2 0.00E+00 279.43  4.64  95140 0.00503
 292.1 292.3 0.00E+00 280.84  5.69  95000 0.00531
 270.8 292.9 0.00E+00 281.64  5.63  94930 0.00544
 262.5 292.9 0.00E+00 282.26  3.36  94910 0.00561
 145.2 292.4 0.00E+00 282.38  3.31  94970 0.00563
  76.5 285.7 0.00E+00 281.03  4.09  95020 0.00542
  10.6 282.8 0.00E+00 279.09  3.15  95070 0.00512
   0.0 275.3 0.00E+00 277.60  3.96  95120 0.00491
   0.0 269.7 0.00E+00 276.40  4.23  95210 0.00472
   0.0 309.9 0.00E+00 276.20  4.24  95340 0.00472
   0.0 318.9 0.00E+00 276.88  5.33  95360 0.00491
   0.0 321.3 0.00E+00 275.81  6.83  95410 0.00481
   0.0 316.6 0.00E+00 275.42  7.36  95450 0.00469
   0.0 313.8 0.00E+00 274.99  7.81  95500 0.00454
   0.0 311.2 0.00E+00 274.43  7.66  95570 0.00436
   0.0 309.3 0.00E+00 274.03  7.58  95630 0.00424
   0.0 307.6 0.00E+00 273.78  8.34  95580 0.00416
   0.0 306.8 0.00E+00 273.45  7.12  95720 0.00406
   0.0 302.5 0.00E+00 273.10  8.92  95620 0.00396
   0.0 301.4 0.00E+00 273.19  9.43  95630 0.00391
   1.6 300.2 0.00E+00 273.06  7.28  95780 0.00381
  14.2 298.8 0.00E+00 272.74  7.04  95840 0.00383
  40.0 300.3 0.00E+00 272.56  8.00  95920 0.00379
 112.0 302.7 0.00E+00 272.23  9.69  96020 0.00370
 183.0 298.1 0.00E+00 271.25 11.69  96110 0.00344
 253.0 290.9 0.00E+00 270.38 12.45  96150 0.00320
 258.0 286.3 0.00E+00 269.84 12.08  96210 0.00302
 295.0 281.9 0.00E+00 269.42 12.16  96280 0.00284
 268.7 249.3 0.00E+00 269.22 11.91  96380 0.00265
 200.0 215.6 0.00E+00 268.88  9.29  96520 0.00245
  26.7 201.0 0.00E+00 267.71  7.89  96620 0.00225
   0.0 201.8 0.00E+00 267.06  6.75  96720 0.00215
   0.0 197.6 0.00E+00 266.79  6.67  96800 0.00207
   0.0 197.2 0.00E+00 266.38  6.79  96860 0.00197
   0.0 198.2 0.00E+00 266.06  5.78  96940 0.00190
   0.0 197.1 0.00E+00 265.76  5.12  97020 0.00183
   0.0 194.1 0.00E+00 264.88  3.95  97080 0.00177
   0.0 194.9 0.00E+00 264.17  2.34  97110 0.00172
   0.0 195.8 0.00E+00 264.28  4.18  97130 0.00173
   0.0 195.0 0.00E+00 264.04  3.88  97160 0.00172
   0.0 195.6 0.00E+00 263.28  2.59  97210 0.00166
   0.0 193.1 0.00E+00 262.14  2.06  97290 0.00156
   0.0 192.4 0.00E+00 262.04  3.25  97340 0.00155
   0.0 190.8 0.00E+00 261.93  2.18  97380 0.00152
  13.2 188.7 0.00E+00 260.35  2.50  97450 0.00137
 142.9 185.8 0.00E+00 262.07  2.93  97480 0.00148
 304.5 206.7 0.00E+00 264.02  4.10  97550 0.00158
 357.7 210.4 0.00E+00 264.67  4.37  97650 0.00145
 490.1 216.3 0.00E+00 265.58  3.99  97680 0.00140
 536.4 212.7 0.00E+00 266.53  3.95  97640 0.00142
 461.4 211.0 0.00E+00 266.67  3.64  97600 0.00140
 414.3 203.3 0.00E+00 267.22  3.21  97560 0.00148
 324.3 202.8 0.00E+00 267.55  3.15  97550 0.00142
 169.8 196.5 0.00E+00 267.41  2.52  97570 0.00139
  19.5 206.3 0.00E+00 266.25  1.50  97630 0.00140
   0.2 238.9 0.00E+00 265.30  0.80  97660 0.00148
   0.2 243.1 0.00E+00 265.02  1.27  97680 0.00154
   0.1 241.7 0.00E+00 264.87  1.22  97700 0.00150
   0.0 239.1 0.00E+00 264.41  0.69  97680 0.00155
   0.0 251.1 0.00E+00 264.04  0.63  97680 0.00168
   0.2 260.7 0.00E+00 264.48  0.55  97670 0.00176
   0.2 267.9 0.00E+00 264.97  0.56  97650 0.00179
   0.2 264.9 0.00E+00 265.35  1.44  97610 0.00176
   0.2 269.8 0.00E+00 265.56  2.52  97630 0.00180
   0.2 273.0 0.00E+00 265.83  2.49  97590 0.00179
   0.2 272.2 0.00E+00 265.83  2.99  97510 0.00192
   0.1 273.2 0.00E+00 265.98  3.43  97490 0.00198
   0.2 274.8 0.00E+00 265.92  3.90  97450 0.00199
   4.5 276.9 0.00E+00 266.21  4.06  97440 0.00200
  35.1 278.0 0.00E+00 266.55  3.61  97430 0.00202
  85.0 281.5 0.00E+00 267.30  4.85  97400 0.00222
 189.2 284.2 0.00E+00 268.72  6.47  97360 0.00247
 222.7 285.2 0.00E+00 269.81  6.60  97320 0.00251
 328.1 289.0 0.00E+00 270.78  6.03  97240 0.00233
 528.9 242.3 0.00E+00 271.95  6.46  97140 0.00262
 416.5 226.2 0.00E+00 272.52  5.79  97050 0.00271
 316.0 222.1 0.00E+00 272.97  4.86  96990 0.00286
 185.9 216.5 0.00E+00 273.23  3.88  96980 0.00298
  21.0 217.6 0.00E+00 271.84  2.64  96980 0.00289
   0.0 230.7 0.00E+00 269.52  1.33  97030 0.00269
   0.0 234.9 0.00E+00 269.95  2.06  97070 0.00280
   0.0 231.0 0.00E+00 269.92  2.20  97120 0.00281
   0.0 234.7 0.00E+00 269.07  2.37  97170 0.00272
   0.0 250.3 0.00E+00 268.64  2.37  97230 0.00269
   0.0 246.9 0.00E+00 267.86  2.20  97300 0.00260
   0.0 274.5 0.00E+00 268.99  2.72  97380 0.00280
